t_s,mode,v_cmd_mps,omega_cmd_radps,delta_v_cmd_mps,v_left_est_mps,v_right_est_mps,rpm_front_left,rpm_rear_left,rpm_front_right,rpm_rear_right,epsilon_x_mm,epsilon_y_mm,theta_rad,curvature_inv_mm,confidence,e_x_m_filtered,theta_rad_filtered,de_x_f,dtheta_f,kappa_m,gamma,v_target_mps,omega_pp_radps,omega_pd_radps,omega_target_radps,delta_v_target_mps,error_age_s
0.15149998664855957,tracking_pure_pursuit_pd_video_logger,0.020160799026489255,0.0,0.0,0.020160799026489255,0.020160799026489255,5.923736901688682,5.923736901688682,5.923736901688682,5.923736901688682,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,-1.8809999999999998,-0.0,0.0963743952506698,-0.0,-0.0,0.0,0.0,0.6133444309234619
2.3343236446380615,control_error_timeout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,2.7961320877075195
2.377889633178711,tracking_pure_pursuit_pd_video_logger,0.005185461044311523,0.0,0.0,0.005185461044311523,0.005185461044311523,1.5236155521464132,1.5236155521464132,1.5236155521464132,1.5236155521464132,-0.30000000000000004,120.0,-0.003,-0.001882,1.0,0.0,0.0,0.0,0.0,-1.882,-0.0,0.09637253768166225,-0.0,-0.0,0.0,0.0,0.029214859008789062
2.406522512435913,tracking_pure_pursuit_pd_video_logger,0.008628044128417969,0.0,0.0,0.008628044128417969,0.008628044128417969,2.535130841081951,2.535130841081951,2.535130841081951,2.535130841081951,-0.30000000000000004,120.0,-0.003,-0.001882,1.0,0.0,0.0,0.0,0.0,-1.882,-0.0,0.09637253768166225,-0.0,-0.0,0.0,0.0,0.058200836181640625
2.4397175312042236,tracking_pure_pursuit_pd_video_logger,0.012550621032714843,0.0,0.0,0.012550621032714843,0.012550621032714843,3.687680079193247,3.687680079193247,3.687680079193247,3.687680079193247,-0.30000000000000004,120.0,-0.003,-0.001882,1.0,0.0,0.0,0.0,0.0,-1.882,-0.0,0.09637253768166225,-0.0,-0.0,0.0,0.0,0.09120678901672363
2.4727585315704346,tracking_pure_pursuit_pd_video_logger,0.01659150123596191,0.0,0.0,0.01659150123596191,0.01659150123596191,4.874989726188238,4.874989726188238,4.874989726188238,4.874989726188238,-0.30000000000000004,120.0,-0.003,-0.001882,1.0,0.0,0.0,0.0,0.0,-1.882,-0.0,0.09637253768166225,-0.0,-0.0,0.0,0.0,0.12408065795898438
2.5161492824554443,tracking_pure_pursuit_pd_video_logger,0.021242952346801756,0.0,0.0,0.021242952346801756,0.021242952346801756,6.241700071124452,6.241700071124452,6.241700071124452,6.241700071124452,-0.30000000000000004,120.0,-0.003,-0.001882,1.0,0.0,0.0,0.0,0.0,-1.882,-0.0,0.09637253768166225,-0.0,-0.0,0.0,0.0,0.1675710678100586
2.5610249042510986,tracking_pure_pursuit_pd_video_logger,0.026838798522949216,0.0,0.0,0.026838798522949216,0.026838798522949216,7.885896833676603,7.885896833676603,7.885896833676603,7.885896833676603,-0.30000000000000004,120.0,-0.003,-0.001882,1.0,0.0,0.0,0.0,0.0,-1.882,-0.0,0.09637253768166225,-0.0,-0.0,0.0,0.0,0.21237492561340332
2.617560625076294,tracking_pure_pursuit_pd_video_logger,0.03303537368774414,0.0,0.0,0.03303537368774414,0.03303537368774414,9.706602497155227,9.706602497155227,9.706602497155227,9.706602497155227,-0.30000000000000004,120.0,-0.003,-0.001882,1.0,0.0,0.0,0.0,0.0,-1.882,-0.0,0.09637253768166225,-0.0,-0.0,0.0,0.0,0.2689857482910156
2.6327829360961914,tracking_pure_pursuit_pd_video_logger,0.035520744323730466,0.0,0.0,0.035520744323730466,0.035520744323730466,10.436865307246315,10.436865307246315,10.436865307246315,10.436865307246315,-0.4,120.0,-0.003,-0.00188,1.0,0.0,0.0,0.0,0.0,-1.88,-0.0,0.09637625289128758,-0.0,-0.0,0.0,0.0,0.011126279830932617
2.6494803428649902,tracking_pure_pursuit_pd_video_logger,0.03744947433471679,0.0,0.0,0.03744947433471679,0.03744947433471679,11.003573458270608,11.003573458270608,11.003573458270608,11.003573458270608,-0.4,120.0,-0.003,-0.00188,1.0,0.0,0.0,0.0,0.0,-1.88,-0.0,0.09637625289128758,-0.0,-0.0,0.0,0.0,0.027869224548339844
